Serial Number,Brand,Used,Status,UnderWarranty,RAM,SSD
GM0Z8W2Q,LENOVO,NO,Available,YES,32GB,512GB 
GM0Z8W4B,LENOVO,NO,Available,YES,32GB,512GB 
GM0Z8W3G,LENOVO,NO,Available,YES,32GB,512GB 
GM0Z8W22,LENOVO,NO,Available,YES,32GB,512GB 
GM0Z8W32F,LENOVO,NO,Available,YES,32GB,512GB 
HGL4RK9WJY,MACBOOK AIR,NO,Available,YES
DP23XXGP6G,MACBOOK AIR,NO,Available,YES
C79DQYVXMX,MACBOOK PRO,NO,Available,YES
DV205H64W9,MACBOOK AIR,NO,Available,YES
C39990Q64X,MACBOOK PRO,YES,Available,YES,36GB,1TB
JV4P1V326F,MACBOOK PRO,YES,Available,NO
W4FCQ156R7,MACBOOK PRO,YES,Available,NO
PF5GPP8R,LENOVO,YES,Available,YES,32GB,1TB 
PF5JC7ZP,LENOVO,YES,Available,YES,32GB,1TB
D297P4XML6,MACBOOK PRO,YES,Available,YES,36GB,1TB
PF5GPP95,LENOVO,YES,Available,YES,32GB,1TB
PF5ALW3X,LENOVO,YES,Available,YES,32GB,1TB
M906F5CXTT,MACBOOK PRO,YES,Available,NO,,
PF5JCWT4,LENOVO,YES,Available,YES,32GB,1TB
PW01GS15,LENOVO,YES,Available,YES,32GB,238GB
C0WRLH97VL,MACBOOK PRO,YES,Not Available,,,
FWKJ76LCQD,MACBOOK AIR,YES,Not Available,,,
L46XRL4RHW,MACBOOK PRO,YES,Not Available,,,
C21QC541WQ,MACBOOK PRO,YES,Not Available,,,
HGDM4C333T,MACBOOK PRO,YES,Not Available,,,
K36VGDJ56L,MACBOOK PRO,YES,Not Available,,,
J7FKVD7WK4,MACBOOK PRO,YES,Not Available,,,
FFQ59HGYJQ,MACBOOK PRO,YES,Not Available,,,
HFJ29RVDX4,MACBOOK PRO,YES,Not Available,,,
HFNYG76JG2,MACBOOK PRO,YES,Not Available,,,
CT7X6V16FF,MACBOOK PRO,YES,Not Available,,,
JF0933VWPQ,MACBOOK AIR,YES,Not Available,,,
H9Y50YVYXX,MACBOOK AIR,YES,Not Available,,,
DQH0204C2H,MACBOOK AIR,YES,Not Available,,,
FKX6NWJJ4T,MACBOOK PRO,YES,Not Available,,,
HH0F54N365,MACBOOK PRO,YES,Not Available,,,
P6794GQ126,MACBOOK PRO,YES,Not Available,,,
J276354XPD,MACBOOK PRO,YES,Not Available,,,
M0Y3RDFWGY,MACBOOK AIR,YES,Not Available,,,
C3J0QVF54F,MACBOOK PRO,YES,Not Available,,,
D297P4XML6,MACBOOK PRO,YES,Not Available,,,
LFFHQ7MPY4,MACBOOK PRO,YES,Not Available,,,
JMHJXW9NWY,MACBOOK PRO,YES,Not Available,,,
M04459MH4V,MACBOOK PRO,YES,Not Available,,,
LTJR2P7V7Q,MACBOOK PRO,YES,Not Available,,,
LD033LQ5D9,MACBOOK PRO,YES,Not Available,,,
L7V1FY4RTJ,MACBOOK PRO,YES,Not Available,,,